HGNC ID,GENE,Approved name,Status,Previous symbols,Alias symbols,Chromosome,Accession numbers,RefSeq IDs,ENTREZ,ENSGID,GENE_GC%,CHR,START,END,GENE_BIOMART_OTHERS
HGNC:222,ADAMTS6,ADAM metallopeptidase with thrombospondin type 1 motif 6,Approved,,ADAM-TS6,5q12.3,AF140674,NM_197941,11174,ENSG00000049192,35.91,5,64444563,64777747,
HGNC:4795,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,Approved,GDH,H6PDH,1p36.22,AJ012590,NM_004285,9563,ENSG00000049239,52.29,1,9294834,9331396,
HGNC:12644,VAMP3,vesicle associated membrane protein 3,Approved,,CEB,1p36.23,BC003570,NM_004781,9341,ENSG00000049245,42.77,1,7831329,7841492,
HGNC:8847,PER3,period circadian regulator 3,Approved,,,1p36.23,BC026102,NM_016831,8863,ENSG00000049246,40.53,1,7844380,7905237,
HGNC:12636,UTS2,urotensin 2,Approved,,"UII, U-II, UCN2, PRO1068",1p36.23,AF104118,NM_006786,10911,ENSG00000049247,40.81,1,7903143,7913572,
HGNC:11924,TNFRSF9,TNF receptor superfamily member 9,Approved,ILA,"CD137, 4-1BB",1p36.23,L12964,,3604,ENSG00000049249,43.31,1,7979907,8000926,
HGNC:18235,EPN3,epsin 3,Approved,,"FLJ20778, MGC129899",17q21.33,AF324241,NM_017957,55040,ENSG00000049283,58.71,17,48609904,48621111,
HGNC:6714,LTBP1,latent transforming growth factor beta binding protein 1,Approved,,,2p22.3,,NM_206943,4052,ENSG00000049323,40.25,2,33172039,33624576,
HGNC:9934,RCN1,reticulocalbin 1,Approved,RCN,"Rcal, PIG20, FLJ37041",11p13,D42073,NM_002901,5954,ENSG00000049449,43.38,11,31833939,32127301,
HGNC:3327,ELN,elastin,Approved,,"WBS, WS, SVAS",7q11.23,,NM_000501,2006,ENSG00000049540,54.95,7,73442119,73484237,
HGNC:9970,RFC2,replication factor C subunit 2,Approved,,"A1, RFC40",7q11.23,,NM_181471,5982,ENSG00000049541,48.95,7,73645829,73668774,
HGNC:18040,ARID1B,AT-rich interaction domain 1B,Approved,,"KIAA1235, ELD/OSA1, p250R, BAF250b, DAN15, 6A3-5",6q25.3,AF521671,NM_020732,57492,ENSG00000049618,40.83,6,157099063,157531913,
HGNC:24308,CLPTM1L,CLPTM1 like,Approved,,"FLJ14400, CRR9",5p15.33,AK027306,NM_030782,81037,ENSG00000049656,56.17,5,1317859,1345214,
HGNC:7728,NEDD4L,NEDD4 like E3 ubiquitin protein ligase,Approved,,"KIAA0439, RSP5, NEDD4-2",18q21.31,AF210730,,23327,ENSG00000049759,43.36,18,55711599,56068772,
HGNC:4879,HEXB,hexosaminidase subunit beta,Approved,,,5q13.3,M13519,NM_000521,3074,ENSG00000049860,42.11,5,73935848,74018472,
HGNC:25734,PTCD2,pentatricopeptide repeat domain 2,Approved,,FLJ12598,5q13.2,BC018720,NM_024754,79810,ENSG00000049883,40.04,5,71616194,71656052,
HGNC:20184,JKAMP,JNK1/MAPK8 associated membrane protein,Approved,C14orf100,"HSPC213, JAMP, HSPC327, CDA06",14q23.1,AF212245,NM_001098625,51528,ENSG00000050130,36.78,14,59951161,59972128,
HGNC:2893,DKK3,dickkopf WNT signaling pathway inhibitor 3,Approved,,"REIC, RIG",11p15.3,AF177396,NM_013253,27122,ENSG00000050165,49.18,11,11984653,12031316,
HGNC:13209,ARHGEF5,Rho guanine nucleotide exchange factor 5,Approved,,"TIM, TIM1, GEF5, P60",7q35,U02082,NM_005435,7984,ENSG00000050327,48.06,7,144052381,144077725,
HGNC:7783,NFE2L3,"nuclear factor, erythroid 2 like 3",Approved,,Nrf3,7p15.2,AB010812,,9603,ENSG00000050344,44.64,7,26191860,26226745,
HGNC:21097,MCUR1,mitochondrial calcium uniporter regulator 1,Approved,"C6orf79, CCDC90A",FLJ20958,6p23,BC016850,NM_022102,63933,ENSG00000050393,41.24,6,13786789,13814800,
HGNC:24636,LIMA1,LIM domain and actin binding 1,Approved,,EPLIN,12q13.12,AF198454,NM_016357,51474,ENSG00000050405,42.32,12,50569571,50677329,
HGNC:24241,LETMD1,LETM1 domain containing 1,Approved,,"HCCR1, HCCR, HCCR-2, HCCR-1, HCCR2, SLC55A3",12q13.12,AF195651,NM_015416,25875,ENSG00000050426,45.34,12,51441745,51454207,
HGNC:11034,SLC4A8,solute carrier family 4 member 8,Approved,,NBC3,12q13.13,AB018282,NM_004858,9498,ENSG00000050438,42.58,12,51785101,51902980,
HGNC:6494,LAMC3,laminin subunit gamma 3,Approved,,DKFZp434E202,9q34.12,AF041835,NM_006059,10319,ENSG00000050555,53.69,9,133884469,133969860,
HGNC:9595,PTGER3,prostaglandin E receptor 3,Approved,,"EP3, lnc003875",1p31.1,X83863,NM_000957,5733,ENSG00000050628,38.05,1,71318036,71513491,
HGNC:19315,TNIP3,TNFAIP3 interacting protein 3,Approved,,"LIND, FLJ21162, ABIN-3",4q27,AJ320534,NM_024873,79931,ENSG00000050730,37.14,4,122052563,122148621,
HGNC:6886,MAPK9,mitogen-activated protein kinase 9,Approved,PRKM9,"JNK2, p54a, SAPK",5q35.3,U09759,,5601,ENSG00000050748,43.58,5,179660143,179719099,
HGNC:22990,COL23A1,collagen type XXIII alpha 1 chain,Approved,,DKFZp434K0621,5q35.3,AL137461,NM_173465,91522,ENSG00000050767,50.62,5,177664619,178017556,
HGNC:971,BCAR1,"BCAR1 scaffold protein, Cas family member",Approved,,"P130Cas, Crkas, CAS, CASS1",16q23.1,AJ242987,NM_014567,9564,ENSG00000050820,59.64,16,75262928,75301951,
HGNC:25378,FAM160A2,family with sequence similarity 160 member A2,Approved,C11orf56,"FLJ22665, KIAA1759, DKFZP566M1046, FHIP",11p15.4,,NM_032127,84067,ENSG00000051009,44.55,11,6232565,6255941,
HGNC:13744,HERPUD1,homocysteine inducible ER protein with ubiquitin like domain 1,Approved,,"KIAA0025, Mif1, HERP, SUP",16q13,AB034989,,9709,ENSG00000051108,43.09,16,56965960,56977798,
HGNC:17514,HOMER3,homer scaffold protein 3,Approved,,HOMER-3,19p13.11,Y18894,,9454,ENSG00000051128,56.77,19,19040010,19052070,
HGNC:9817,RAD51,RAD51 recombinase,Approved,"RAD51A, RECA","HsRad51, HsT16930, BRCC5, FANCR",15q15.1,D13804,"NM_002875, NM_133487",5888,ENSG00000051180,43.5,15,40986972,41024354,
HGNC:9186,POLQ,DNA polymerase theta,Approved,,POLH,3q13.33,AF052573,NM_199420,10721,ENSG00000051341,39.03,3,121150278,121264853,
HGNC:8976,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",Approved,PIK3C1,,3q22.3,,,5291,ENSG00000051382,40.59,3,138372860,138553780,
HGNC:2577,CYBA,cytochrome b-245 alpha chain,Approved,,p22-PHOX,16q24.2,,NM_000101,1535,ENSG00000051523,61.89,16,88709691,88717560,
HGNC:19072,THOC3,THO complex 3,Approved,,"TEX1, MGC5469",5q35.2,BC006849,,84321,ENSG00000051596,43.01,5,175344876,175461683,
HGNC:15716,HEBP2,heme binding protein 2,Approved,C6orf34,SOUL,6q24.1,AF117616,,23593,ENSG00000051620,47.12,6,138724668,138743334,
HGNC:7215,MPHOSPH9,M-phase phosphoprotein 9,Approved,,MPP9,12q24.31,X98258,,10198,ENSG00000051825,42.99,12,123636867,123728561,
HGNC:30036,PLEKHA5,pleckstrin homology domain containing A5,Approved,,"PEPP2, KIAA1686, FLJ10667",12p12.3,AF302150,NM_019012,54477,ENSG00000052126,38.1,12,19282648,19529334,
HGNC:9491,PRSS8,serine protease 8,Approved,,,16p11.2,U33446,NM_002773,5652,ENSG00000052344,59.08,16,31142756,31147083,
HGNC:26119,SIKE1,suppressor of IKBKE 1,Approved,,"FLJ21168, SIKE",1p13.2,AK024821,NM_025073,80143,ENSG00000052723,36.9,1,115312100,115323306,
HGNC:29100,RRP12,ribosomal RNA processing 12 homolog,Approved,KIAA0690,,10q24.1,,NM_015179,23223,ENSG00000052749,51.62,10,99116115,99161127,
HGNC:29280,FNIP2,folliculin interacting protein 2,Approved,,"KIAA1450, FNIPL, MAPO1",4q32.1,AB040883,NM_020840,57600,ENSG00000052795,40.56,4,159690290,159829201,
HGNC:10545,MSMO1,methylsterol monooxygenase 1,Approved,SC4MOL,"DESP4, ERG25",4q32.3,U93162,NM_006745,6307,ENSG00000052802,37.1,4,166248775,166264312,
HGNC:25596,TTC17,tetratricopeptide repeat domain 17,Approved,,FLJ10890,11p12-p11.2,AK001540,NM_018259,55761,ENSG00000052841,37.89,11,43380482,43516483,
HGNC:450,ALX4,ALX homeobox 4,Approved,PFM2,"FPP, PFM, KIAA1788",11p11.2,AF294629,,60529,ENSG00000052850,52.84,11,44281994,44331716,
HGNC:21389,FSTL4,follistatin like 4,Approved,,KIAA1061,5q31.1,AB028984,NM_015082,23105,ENSG00000053108,46.69,5,132532147,132948255,
HGNC:1928,FOXN3,forkhead box N3,Approved,"C14orf116, CHES1",,14q31.3-q32.11,,NM_005197,1112,ENSG00000053254,44.31,14,89591215,90085493,
HGNC:21566,METTL24,methyltransferase like 24,Approved,C6orf186,dJ71D21.2,6q21,,NM_001123364,728464,ENSG00000053328,40.64,6,110567131,110679475,
HGNC:389,AKR7A2,aldo-keto reductase family 7 member A2,Approved,,AFAR,1p36.13,AF026947,NM_003689,8574,ENSG00000053371,52.87,1,19630459,19638640,
HGNC:18477,MRTO4,"MRT4 homolog, ribosome maturation factor",Approved,C1orf33,"dJ657E11.4, MRT4",1p36.13,AK027569,NM_016183,51154,ENSG00000053372,53.49,1,19578033,19586622,
HGNC:7860,NNAT,neuronatin,Approved,,Peg5,20q11.23,,NM_005386,4826,ENSG00000053438,54.08,20,36149617,36152092,
HGNC:30882,USE1,unconventional SNARE in the ER 1,Approved,,"p31, SLT1, MDS032, D12",19p13.11,AF220052,NM_018467,55850,ENSG00000053501,55.26,19,17326155,17330638,
HGNC:30319,MCF2L2,MCF.2 cell line derived transforming sequence-like 2,Approved,,"KIAA0861, ARHGEF22",3q27.1,AB020668,NM_015078,23101,ENSG00000053524,42.39,3,182895831,183146566,
HGNC:23078,NRIP2,nuclear receptor interacting protein 2,Approved,,DKFZP761G1913,12p13.33,AK054740,NM_031474,83714,ENSG00000053702,51.39,12,2934514,2944710,
HGNC:6483,LAMA3,laminin subunit alpha 3,Approved,LAMNA,"nicein-150kDa, kalinin-165kDa, BM600-150kDa, epiligrin",18q11.2,L34155,"NM_000227, NM_198129",3909,ENSG00000053747,42.46,18,21269407,21535030,
HGNC:20192,AP5M1,adaptor related protein complex 5 subunit mu 1,Approved,"C14orf108, MUDENG","FLJ10813, MuD, mu5",14q22.3,AF094583,NM_018229,55745,ENSG00000053770,35.8,14,57735627,57756797,
HGNC:19990,ANAPC4,anaphase promoting complex subunit 4,Approved,,APC4,4p15.2,AF191338,NM_013367,29945,ENSG00000053900,37.97,4,25378835,25420120,
HGNC:6294,KCNQ1,potassium voltage-gated channel subfamily Q member 1,Approved,"LQT, KCNA9","Kv7.1, KCNA8, KVLQT1, JLNS1, LQT1",11p15.5-p15.4,AF000571,NM_000218,3784,ENSG00000053918,51.55,11,2465914,2870339,
HGNC:19942,TRAPPC3,trafficking protein particle complex 3,Approved,,BET3,1p34.3,AF041432,NM_014408,27095,ENSG00000054116,47.19,1,36602173,36615098,
HGNC:22964,THRAP3,thyroid hormone receptor associated protein 3,Approved,,"TRAP150, BCLAF2",1p34.3,AF117756,NM_005119,9967,ENSG00000054118,43.72,1,36690017,36770958,
HGNC:30033,PHPT1,phosphohistidine phosphatase 1,Approved,,"PHP14, HSPC141, CGI-202, DKFZp564M173, bA216L13.10",9q34.3,AF131857,NM_014172,29085,ENSG00000054148,66.23,9,139743176,139745488,
HGNC:3364,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2,Approved,CD39L1,NTPDase-2,9q34.3,U91510,NM_203468,954,ENSG00000054179,65.74,9,139942550,139948497,
HGNC:6729,LY75,lymphocyte antigen 75,Approved,,"DEC-205, CLEC13B, CD205",2q24.2,AF011333,,4065,ENSG00000054219,38.38,2,160628362,160761260,
HGNC:15550,ARID4B,AT-rich interaction domain 4B,Approved,RBP1L1,"BCAA, BRCAA1, SAP180",1q42.3,AF214114,NM_016374,51742,ENSG00000054267,39.95,1,235294949,235491534,
HGNC:14007,OPN3,opsin 3,Approved,ECPN,"ERO, NMO-1, encephalopsin, PPP1R116",1q43,AF140242,NM_014322,23596,ENSG00000054277,39.62,1,241753404,241840678,
HGNC:10671,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8,Approved,,"NY-CO-8, CCCAP, SLSN7, NPHP10, BBS16",1q43-q44,AF039690,NM_006642,10806,ENSG00000054282,39.81,1,243419320,243663394,
HGNC:9676,PTPRN,protein tyrosine phosphatase receptor type N,Approved,,"IA-2, ICA512",2q35,,,5798,ENSG00000054356,53.59,2,220154345,220174370,
HGNC:18270,HHAT,hedgehog acyltransferase,Approved,,"FLJ10724, MART-2, MART2, Skn, ski, rasp, sit, GUP2",1q32.2,AK001586,NM_018194,55733,ENSG00000054392,42.26,1,210501596,210849638,
HGNC:16636,KIF1B,kinesin family member 1B,Approved,"CMT2A, CMT2","KIAA0591, KLP, HMSNII",1p36.22,AF257176,,23095,ENSG00000054523,41.99,1,10270863,10441661,
HGNC:3800,FOXC1,forkhead box C1,Approved,"FKHL7, IRID1","FREAC3, ARA, IGDA, IHG1",6p25.3,AF048693,,2296,ENSG00000054598,53.35,6,1610681,1614127,
HGNC:1309,TBC1D22A,TBC1 domain family member 22A,Approved,C22orf4,,22q13.31,AK125705,NM_014346,25771,ENSG00000054611,49.4,22,47158518,47571336,
HGNC:17084,SYNE2,spectrin repeat containing nuclear envelope protein 2,Approved,,"SYNE-2, DKFZP434H2235, Nesprin-2, NUANCE, NUA, KIAA1011, Nesp2",14q23.2,AB023228,NM_182914,23224,ENSG00000054654,40.76,14,64319683,64693165,
HGNC:17733,PLEKHH1,"pleckstrin homology, MyTH4 and FERM domain containing H1",Approved,,KIAA1200,14q24.1,AB033026,NM_020715,57475,ENSG00000054690,48.02,14,68000018,68056329,
HGNC:13540,ATP9A,ATPase phospholipid transporting 9A (putative),Approved,,"KIAA0611, ATPIIA",20q13.2,AB014511,NM_006045,10079,ENSG00000054793,46.69,20,50213053,50385173,
HGNC:11250,SPO11,SPO11 initiator of meiotic double stranded breaks,Approved,,"CT35, SPATA43, TOPVIA",20q13.31,AF169385,NM_012444,23626,ENSG00000054796,36.78,20,55904815,55919050,
HGNC:16231,CBLN4,cerebellin 4 precursor,Approved,CBLNL1,dJ885A10.1,20q13.2,AY358527,NM_080617,140689,ENSG00000054803,44.01,20,54572496,54580528,
HGNC:24168,CHRDL2,chordin like 2,Approved,,BNF1,11q13.4,AL110168,,25884,ENSG00000054938,51.57,11,74407474,74442430,
HGNC:28999,FAM168A,family with sequence similarity 168 member A,Approved,KIAA0280,TCRP1,11q13.4,BC014932,NM_015159,23201,ENSG00000054965,41.55,11,73111532,73309234,
HGNC:13764,RELT,RELT TNF receptor,Approved,TNFRSF19L,FLJ14993,11q13.4,AF319553,NM_032871,84957,ENSG00000054967,59.84,11,73087309,73108519,
HGNC:4115,GALC,galactosylceramidase,Approved,,,14q31.3,L23116,,2581,ENSG00000054983,39.12,14,88304164,88460009,
HGNC:29926,NOP58,NOP58 ribonucleoprotein,Approved,,"NOP5, HSPC120",2q33.1,,NM_015934,51602,ENSG00000055044,41.15,2,203130439,203168389,
HGNC:30232,SZRD1,SUZ RNA binding domain containing 1,Approved,C1orf144,DKFZp566C0424,1p36.13,BC010631,NM_015609,26099,ENSG00000055070,48.1,1,16679070,16724640,
HGNC:6251,KCNH2,potassium voltage-gated channel subfamily H member 2,Approved,LQT2,"Kv11.1, HERG, erg1",7q36.1,U04270,NM_000238,3757,ENSG00000055118,59.57,7,150642049,150675403,
HGNC:2551,CUL1,cullin 1,Approved,,,7q36.1,U58087,NM_003592,8454,ENSG00000055130,41.22,7,148395006,148498128,
HGNC:1333,FAM114A2,family with sequence similarity 114 member A2,Approved,C5orf3,133K02,5q33.2,AF159700,NM_018691,10827,ENSG00000055147,37.35,5,153369688,153418496,
HGNC:13760,CYFIP2,cytoplasmic FMR1 interacting protein 2,Approved,,PIR121,5q33.3,AF160973,NM_001037332,26999,ENSG00000055163,44.29,5,156693089,156822606,
HGNC:17075,TAB2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,Approved,MAP3K7IP2,KIAA0733,6q25.1,AF241230,,23118,ENSG00000055208,38.87,6,149539777,149732749,
HGNC:21074,GINM1,glycoprotein integral membrane 1,Approved,C6orf72,dJ12G14.2,6q25.1,BC014320,NM_138785,116254,ENSG00000055211,42.05,6,149887430,149912884,
HGNC:9437,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2,Approved,PRKR,"PKR, EIF2AK1, PPP1R83",2p22.2,BC057805,NM_002759,5610,ENSG00000055332,41.14,2,37326353,37384208,
HGNC:20062,USP36,ubiquitin specific peptidase 36,Approved,,"KIAA1453, FLJ12851",17q25.3,AB040886,NM_025090,57602,ENSG00000055483,50.03,17,76783463,76837523,
HGNC:13726,KMT2C,lysine methyltransferase 2C,Approved,MLL3,"KIAA1506, HALR",7q36.1,AF264750,,58508,ENSG00000055609,38.65,7,151832010,152133090,
HGNC:13358,MCOLN3,mucolipin 3,Approved,,"TRPML3, FLJ11006, TRP-ML3",1p22.3,AF475085,NM_018298,55283,ENSG00000055732,40.77,1,85483765,85514182,
HGNC:29400,CCDC85A,coiled-coil domain containing 85A,Approved,,KIAA1912,2p16.1,AB067499,,114800,ENSG00000055813,38.49,2,56411258,56613308,
HGNC:14958,PUM2,pumilio RNA binding family member 2,Approved,,"PUMH2, KIAA0235",2p24.1,AF315591,NM_015317,23369,ENSG00000055917,37.42,2,20448452,20551995,
HGNC:14517,MRPL43,mitochondrial ribosomal protein L43,Approved,,bMRP36a,10q24.31,AB049656,,84545,ENSG00000055950,53.18,10,102729215,102747272,
HGNC:6169,ITIH4,inter-alpha-trypsin inhibitor heavy chain 4,Approved,ITIHL1,"IHRP, H4P",3p21.1,D38535,NM_002218,3700,ENSG00000055955,55.65,3,52846991,52865495,
HGNC:6166,ITIH1,inter-alpha-trypsin inhibitor heavy chain 1,Approved,,"H1P, IATIH, ITIH",3p21.1,,NM_002215,3697,ENSG00000055957,54.92,3,52811603,52826078,
HGNC:26051,HPF1,histone PARylation factor 1,Approved,C4orf27,FLJ20534,4q33,BC010367,NM_017867,54969,ENSG00000056050,38.6,4,170650616,170679104,C4orf27
HGNC:17277,ZFR,zinc finger RNA binding protein,Approved,,"ZFR1, SPG71",5p13.3,AF100742,,51663,ENSG00000056097,38.33,5,32354456,32444867,
HGNC:4525,NPFFR2,neuropeptide FF receptor 2,Approved,GPR74,"NPFF2, NPGPR",4q13.3,AF236083,NM_004885,10886,ENSG00000056291,36.77,4,72897521,73013784,
HGNC:25161,PHF21B,PHD finger protein 21B,Approved,PHF4,"BHC80L, FLJ34161",22q13.31,AK091480,NM_138415,112885,ENSG00000056487,52.73,22,45277042,45405880,
HGNC:12031,TRAF1,TNF receptor associated factor 1,Approved,,EBI6,9q33.2,AK090468,NM_005658,7185,ENSG00000056558,49.95,9,123664671,123691451,
HGNC:21461,RC3H2,ring finger and CCCH-type domains 2,Approved,MNAB,"FLJ20301, FLJ20713, RNF164",9q33.2,AK000308,NM_018835,54542,ENSG00000056586,40.5,9,125606835,125667620,
HGNC:12929,PCGF2,polycomb group ring finger 2,Approved,"ZNF144, RNF110",MEL-18,17q12,D13969,NM_007144,7703,ENSG00000056661,57.06,17,36890150,36906070,
HGNC:18015,IL17RB,interleukin 17 receptor B,Approved,IL17BR,"IL17RH1, EVI27, CRL4",3p21.1,AF212365,NM_172234,55540,ENSG00000056736,45.37,3,53880607,53899827,
HGNC:1343,TRAF3IP2,TRAF3 interacting protein 2,Approved,"C6orf4, C6orf5, C6orf6, C6orf2","DKFZP586G0522, ACT1, CIKS",6q21,AF136405,,10758,ENSG00000056972,44.45,6,111877657,111927481,
HGNC:24627,DCBLD2,"discoidin, CUB and LCCL domain containing 2",Approved,,"CLCP1, ESDN",3q12.1,,NM_080927,131566,ENSG00000057019,38.58,3,98514785,98620533,
HGNC:10569,SERPINB3,serpin family B member 3,Approved,"SCC, SCCA1","T4-A, HsT1196",18q21.33,U19568,NM_006919,6317,ENSG00000057149,38.05,18,61322431,61329197,
HGNC:11177,SOAT1,sterol O-acyltransferase 1,Approved,"SOAT, STAT",ACAT,1q25.2,L21934,NM_003101,6646,ENSG00000057252,39.59,1,179262925,179327815,
HGNC:9024,PKP2,plakophilin 2,Approved,,,12p11.21,X97675,NM_004572,5318,ENSG00000057294,40.8,12,32943679,33049774,
HGNC:7327,MSH4,mutS homolog 4,Approved,,,1p31.1,U89293,NM_002440,4438,ENSG00000057468,37.01,1,76262567,76378923,
HGNC:3544,F7,coagulation factor VII,Approved,,,13q34,,NM_000131,2155,ENSG00000057593,61.36,13,113760105,113774995,
HGNC:4227,GDI2,GDP dissociation inhibitor 2,Approved,,RABGDIB,10p15.1,D13988,NM_001494,2665,ENSG00000057608,43.74,10,5807186,5884095,
HGNC:9346,PRDM1,PR/SET domain 1,Approved,BLIMP1,PRDI-BF1,6q21,,,639,ENSG00000057657,41.29,6,106534195,106557814,
HGNC:589,ATG5,autophagy related 5,Approved,APG5L,"ASP, APG5, hAPG5",6q21,Y11588,NM_004849,9474,ENSG00000057663,36.83,6,106632351,106773666,
HGNC:29199,TMCC3,transmembrane and coiled-coil domain family 3,Approved,,KIAA1145,12q22,AB032971,NM_020698,57458,ENSG00000057704,43.11,12,94960900,95044338,
HGNC:25022,PITHD1,PITH domain containing 1,Approved,C1orf128,"HT014, TXNL1CL",1p36.11,,NM_020362,57095,ENSG00000057757,44.59,1,24104895,24114722,
HGNC:23784,MTA3,metastasis associated 1 family member 3,Approved,,KIAA1266,2p21,AB033092,NM_020744,57504,ENSG00000057935,43.08,2,42721709,42984087,
HGNC:12611,USP13,ubiquitin specific peptidase 13,Approved,,IsoT-3,3q26.33,U75362,,8975,ENSG00000058056,42.73,3,179370543,179507189,
HGNC:13553,ATP11B,ATPase phospholipid transporting 11B (putative),Approved,,"ATPIF, ATPIR, KIAA0956",3q26.33,AF156548,NM_014616,23200,ENSG00000058063,36.02,3,182511288,182639423,
HGNC:6493,LAMC2,laminin subunit gamma 2,Approved,"EBR2, LAMB2T, LAMNB2, EBR2A","nicein-100kDa, kalinin-105kDa, BM600-100kDa",1q25.3,Z15008,NM_005562,3918,ENSG00000058085,43.28,1,183155373,183214035,
HGNC:8883,CDK14,cyclin dependent kinase 14,Approved,PFTK1,PFTAIRE1,7q21.13,,NM_012395,5218,ENSG00000058091,37.97,7,90095738,90839905,
HGNC:18276,SEC61A1,SEC61 translocon subunit alpha 1,Approved,,,3q21.3,AF077032,NM_013336,29927,ENSG00000058262,47.3,3,127770484,127790526,
HGNC:7618,PPP1R12A,protein phosphatase 1 regulatory subunit 12A,Approved,MYPT1,"MBS, M130",12q21.2-q21.31,D87930,NM_002480,4659,ENSG00000058272,36.07,12,80167343,80329240,
HGNC:9875,RASGRF1,Ras protein specific guanine nucleotide releasing factor 1,Approved,GRF1,"CDC25L, CDC25, GRF55, H-GRF55, GNRP, PP13187",15q25.1,M91815,NM_002891,5923,ENSG00000058335,49.95,15,79252289,79383115,
HGNC:1461,CAMK2B,calcium/calmodulin dependent protein kinase II beta,Approved,CAMKB,"CAM2, CAMK2, CaMKIIÔ_",7p13,U50358,NM_172084,816,ENSG00000058404,55.17,7,44256749,44374176,
HGNC:21299,CROCC,"ciliary rootlet coiled-coil, rootletin",Approved,,"rootletin, ROLT",1p36.13,AB007914,NM_014675,9696,ENSG00000058453,49.14,1,17066768,17299474,
HGNC:30347,POLR3E,RNA polymerase III subunit E,Approved,,"RPC5, SIN, FLJ10509, C37",16p12.2,AY092085,NM_018119,55718,ENSG00000058600,51.65,16,22308730,22346424,
HGNC:817,ATP2B4,ATPase plasma membrane Ca2+ transporting 4,Approved,"ATP2B2, MXRA1",PMCA4,1q32.1,M25874,NM_001001396,493,ENSG00000058668,46.5,1,203595689,203713209,
HGNC:29093,ZC3H11A,zinc finger CCCH-type containing 11A,Approved,ZC3HDC11A,KIAA0663,1q32.1,,NM_014827,9877,ENSG00000058673,40.85,1,203764782,203823252,
HGNC:18999,RIOK2,RIO kinase 2,Approved,,FLJ11159,5q15,AK002021,NM_018343,55781,ENSG00000058729,36.71,5,96496571,96518964,
HGNC:25231,YIPF1,Yip1 domain family member 1,Approved,,"DJ167A19.1, FinGER1",1p32.3,BC009674,NM_018982,54432,ENSG00000058799,43.57,1,54317392,54356407,
HGNC:25525,NDC1,NDC1 transmembrane nucleoporin,Approved,TMEM48,"FLJ10407, NET3",1p32.3,AL354613,NM_018087,55706,ENSG00000058804,40.26,1,54231133,54304533,
HGNC:2853,DGKG,diacylglycerol kinase gamma,Approved,DAGK3,,3q27.2-q27.3,AF020945,,1608,ENSG00000058866,44.7,3,185823457,186080026,
HGNC:25404,FLYWCH1,FLYWCH-type zinc finger 1,Approved,,DKFZp761A132,16p13.3,AL136585,NM_032296,84256,ENSG00000059122,52.33,16,2961938,3001209,
HGNC:14184,UNKL,unk like zinc finger,Approved,C16orf28,"ZC3HDC5L, ZC3H5L, FLJ23360",16p13.3,BC011924,NM_001037125,64718,ENSG00000059145,57.82,16,1413206,1464752,
HGNC:11609,TBXAS1,thromboxane A synthase 1,Approved,,"CYP5, CYP5A1, THAS, TXS, TXAS, TS",7q34,L36085,,6916,ENSG00000059377,44.8,7,139476850,139720125,
HGNC:21919,PARP12,poly(ADP-ribose) polymerase family member 12,Approved,ZC3HDC1,"FLJ22693, PARP-12, ZC3H1, ARTD12",7q34,AL136766,NM_022750,64761,ENSG00000059378,45.81,7,139723544,139763521,
HGNC:9722,ALDH18A1,aldehyde dehydrogenase 18 family member A1,Approved,"GSAS, PYCS, SPG9",P5CS,10q24.1,X94453,NM_002860,5832,ENSG00000059573,43.15,10,97365696,97416463,
HGNC:11568,TARBP1,TAR (HIV-1) RNA binding protein 1,Approved,,"TRP-185, TRM3, TRMT3",1q42.2,,NM_005646,6894,ENSG00000059588,40.27,1,234527059,234614849,
HGNC:8849,GATB,glutamyl-tRNA amidotransferase subunit B,Approved,"PET112L, PET112",,4q31.3,AF026851,,5188,ENSG00000059691,43.81,4,152591656,152682175,PET112
HGNC:6761,MXD1,MAX dimerization protein 1,Approved,MAD,"MAD1, bHLHc58",2p13.3,,NM_002357,4084,ENSG00000059728,40.74,2,70124820,70170077,
HGNC:8750,CDK17,cyclin dependent kinase 17,Approved,PCTK2,PCTAIRE2,12q23.1,,NM_002595,5128,ENSG00000059758,37.82,12,96672039,96794338,
HGNC:34187,DNAJC25,DnaJ heat shock protein family (Hsp40) member C25,Approved,,bA16L21.2.1,9q31.3,,NM_001015882,548645,ENSG00000059769,43.46,9,114393632,114432508,
HGNC:11007,SLC2A3,solute carrier family 2 member 3,Approved,GLUT3,,12p13.31,M20681,NM_006931,6515,ENSG00000059804,44.63,12,8071826,8088871,
HGNC:9507,PSD,pleckstrin and Sec7 domain containing,Approved,,"KIAA2011, TYL, PSD1, EFA6A, EFA6",10q24.32,X99688,,5662,ENSG00000059915,59.67,10,104162376,104181296,
HGNC:2498,CTDP1,CTD phosphatase subunit 1,Approved,,FCP1,18q23,AF081287,NM_004715,9150,ENSG00000060069,53.38,18,77439801,77514510,
HGNC:2428,YBX3,Y-box binding protein 3,Approved,CSDA,"dbpA, ZONAB, CSDA1",12p13.2,L29064,NM_003651,8531,ENSG00000060138,39.09,12,10851683,10875911,
