GENE,ENSGID,ENTREZ,Synonyms,GENE_description,HGNC,Chromosome,OMIM ID(supplied by OMIM)
FXYD3,ENSG00000089356,5349,MAT-8,FXYD domain containing ion transport regulator 3,HGNC:4027,19q13.12,604996
FXYD4,ENSG00000150201,53828,CHIF,FXYD domain containing ion transport regulator 4,HGNC:4028,10q11.21,616926
FXYD5,ENSG00000089327,53827,OIT2,FXYD domain containing ion transport regulator 5,HGNC:4029,19q13.12,606669
FXYD6,ENSG00000137726,53826,,FXYD domain containing ion transport regulator 6,HGNC:4030,11q23.3,606683
FXYD7,ENSG00000221946,53822,,FXYD domain containing ion transport regulator 7,HGNC:4034,19q13.12,606684
FYB1,ENSG00000082074,2533,"SLAP-130, FYB-120/130, ADAP",FYN binding protein 1,HGNC:4036,5p13.1,602731
FYB2,ENSG00000187889,199920,"RP4-758N20.2, FLJ43208, ARAP",FYN binding protein 2,HGNC:27295,1p32.2,
FYCO1,ENSG00000163820,79443,"FLJ13335, ZFYVE7",FYVE and coiled-coil domain autophagy adaptor 1,HGNC:14673,3p21.31,607182
FYN,ENSG00000010810,2534,"SYN, SLK, MGC45350","FYN proto-oncogene, Src family tyrosine kinase",HGNC:4037,6q21,137025
FYTTD1,ENSG00000122068,84248,"DKFZp761B1514, UIF",forty-two-three domain containing 1,HGNC:25407,3q29,616933
FZD1,ENSG00000157240,8321,DKFZp564G072,frizzled class receptor 1,HGNC:4038,7q21.13,603408
FZD10,ENSG00000111432,11211,CD350,frizzled class receptor 10,HGNC:4039,12q24.33,606147
FZD2,ENSG00000180340,2535,,frizzled class receptor 2,HGNC:4040,17q21.31,600667
FZD3,ENSG00000104290,7976,,frizzled class receptor 3,HGNC:4041,8p21.1,606143
FZD4,ENSG00000174804,8322,CD344,frizzled class receptor 4,HGNC:4042,11q14.2,604579
FZD5,ENSG00000163251,7855,"HFZ5, DKFZP434E2135",frizzled class receptor 5,HGNC:4043,2q33.3,601723
FZD6,ENSG00000164930,8323,Hfz6,frizzled class receptor 6,HGNC:4044,8q22.3,603409
FZD7,ENSG00000155760,8324,FzE3,frizzled class receptor 7,HGNC:4045,2q33.1,603410
FZD8,ENSG00000177283,8325,,frizzled class receptor 8,HGNC:4046,10p11.21,606146
FZD9,ENSG00000188763,8326,"FZD3, CD349",frizzled class receptor 9,HGNC:4047,7q11.23,601766
FZR1,ENSG00000105325,51343,"HCDH1, CDH1, HCDH, FZR, FZR2, KIAA1242, CDC20C",fizzy and cell division cycle 20 related 1,HGNC:24824,19p13.3,603619
G0S2,ENSG00000123689,50486,,G0/G1 switch 2,HGNC:30229,1q32.2,614447
G2E3,ENSG00000092140,55632,"FLJ20333, PHF7B",G2/M-phase specific E3 ubiquitin protein ligase,HGNC:20338,14q12,611299
G3BP1,ENSG00000145907,10146,"HDH-VIII, G3BP",G3BP stress granule assembly factor 1,HGNC:30292,5q33.1,608431
G3BP2,ENSG00000138757,9908,KIAA0660,G3BP stress granule assembly factor 2,HGNC:30291,4q21.1,
G6PC,ENSG00000131482,2538,"GSD1a, G6PC1",glucose-6-phosphatase catalytic subunit,HGNC:4056,17q21.31,613742
G6PC2,ENSG00000152254,57818,IGRP,glucose-6-phosphatase catalytic subunit 2,HGNC:28906,2q31.1,608058
G6PC3,nan,92579,UGRP,glucose-6-phosphatase catalytic subunit 3,HGNC:24861,17q21.31,611045
G6PD,ENSG00000160211,2539,G6PD1,glucose-6-phosphate dehydrogenase,HGNC:4057,Xq28,305900
GAA,ENSG00000171298,2548,,"glucosidase alpha, acid",HGNC:4065,17q25.3,606800
GAB1,ENSG00000109458,2549,,GRB2 associated binding protein 1,HGNC:4066,4q31.21,604439
GAB2,ENSG00000033327,9846,KIAA0571,GRB2 associated binding protein 2,HGNC:14458,11q14.1,606203
GAB3,ENSG00000160219,139716,,GRB2 associated binding protein 3,HGNC:17515,Xq28,300482
GAB4,ENSG00000215568,128954,,GRB2 associated binding protein family member 4,HGNC:18325,22q11.1,
GABARAP,ENSG00000170296,11337,"MM46, ATG8A",GABA type A receptor-associated protein,HGNC:4067,17p13.1,605125
GABARAPL1,ENSG00000139112,23710,"gec1, APG8L, ATG8L, ATG8B",GABA type A receptor associated protein like 1,HGNC:4068,12p13.2,607420
GABARAPL2,ENSG00000034713,11345,"GEF2, ATG8, GATE16, GATE-16, ATG8C",GABA type A receptor associated protein like 2,HGNC:13291,16q23.1,607452
GABBR1,ENSG00000204681,2550,"hGB1a, GPRC3A",gamma-aminobutyric acid type B receptor subunit 1,HGNC:4070,6p22.1,603540
GABBR2,ENSG00000136928,9568,"HG20, GABABR2, GPRC3B",gamma-aminobutyric acid type B receptor subunit 2,HGNC:4507,9q22.33,607340
GABPA,ENSG00000154727,2551,"E4TF1A, NFT2, NRF2, E4TF1-60, NRF2A",GA binding protein transcription factor subunit alpha,HGNC:4071,21q21.3,600609
GABPB1,ENSG00000104064,2553,"E4TF1-47, GABPB",GA binding protein transcription factor subunit beta 1,HGNC:4074,15q21.2,600610
GABPB2,ENSG00000143458,126626,MGC29891,GA binding protein transcription factor subunit beta 2,HGNC:28441,1q21.3,
GABRA1,ENSG00000022355,2554,EJM5,gamma-aminobutyric acid type A receptor subunit alpha1,HGNC:4075,5q34,137160
GABRA2,ENSG00000151834,2555,,gamma-aminobutyric acid type A receptor subunit alpha2,HGNC:4076,4p12,137140
GABRA3,ENSG00000011677,2556,,gamma-aminobutyric acid type A receptor subunit alpha3,HGNC:4077,Xq28,305660
GABRA4,ENSG00000109158,2557,,gamma-aminobutyric acid type A receptor subunit alpha4,HGNC:4078,4p12,137141
GABRA5,ENSG00000186297,2558,,gamma-aminobutyric acid type A receptor subunit alpha5,HGNC:4079,15q12,137142
GABRA6,ENSG00000145863,2559,,gamma-aminobutyric acid type A receptor subunit alpha6,HGNC:4080,5q34,137143
GABRB1,ENSG00000163288,2560,,gamma-aminobutyric acid type A receptor subunit beta1,HGNC:4081,4p12,137190
GABRB2,ENSG00000145864,,,gamma-aminobutyric acid type A receptor subunit beta2,HGNC:4082,5q34,600232
GABRB3,ENSG00000166206,2562,,gamma-aminobutyric acid type A receptor subunit beta3,HGNC:4083,15q12,137192
GABRD,ENSG00000187730,2563,,gamma-aminobutyric acid type A receptor subunit delta,HGNC:4084,1p36.33,137163
GABRE,ENSG00000102287,2564,,gamma-aminobutyric acid type A receptor subunit epsilon,HGNC:4085,Xq28,300093
GABRG1,ENSG00000163285,2565,,gamma-aminobutyric acid type A receptor subunit gamma1,HGNC:4086,4p12,137166
GABRG2,ENSG00000113327,,,gamma-aminobutyric acid type A receptor subunit gamma2,HGNC:4087,5q34,137164
GABRG3,ENSG00000182256,2567,,gamma-aminobutyric acid type A receptor subunit gamma3,HGNC:4088,15q12,600233
GABRP,ENSG00000094755,2568,,gamma-aminobutyric acid type A receptor subunit pi,HGNC:4089,5q35.1,602729
GABRQ,ENSG00000268089,55879,,gamma-aminobutyric acid type A receptor subunit theta,HGNC:14454,Xq28,300349
GABRR1,ENSG00000146276,2569,,gamma-aminobutyric acid type A receptor subunit rho1,HGNC:4090,6q15,137161
GABRR2,ENSG00000111886,2570,,gamma-aminobutyric acid type A receptor subunit rho2,HGNC:4091,6q15,137162
GABRR3,ENSG00000183185,200959,,gamma-aminobutyric acid type A receptor subunit rho3 (gene/pseudogene),HGNC:17969,3q11.2,
GAD1,ENSG00000128683,2571,,glutamate decarboxylase 1,HGNC:4092,2q31.1,605363
GAD2,ENSG00000136750,2572,GAD65,glutamate decarboxylase 2,HGNC:4093,10p12.1,138275
GADD45A,ENSG00000116717,1647,GADD45,growth arrest and DNA damage inducible alpha,HGNC:4095,1p31.3,126335
GADD45B,ENSG00000099860,4616,"GADD45BETA, DKFZP566B133",growth arrest and DNA damage inducible beta,HGNC:4096,19p13.3,604948
GADD45G,ENSG00000130222,10912,"DDIT2, GADD45gamma, GRP17, CR6",growth arrest and DNA damage inducible gamma,HGNC:4097,9q22.2,604949
GADD45GIP1,ENSG00000179271,90480,"PLINP-1, MGC4667, MGC4758, CKBBP2, PRG6, Plinp1, CRIF1, CKbetaBP2",GADD45G interacting protein 1,HGNC:29996,19p13.13,605162
GADL1,ENSG00000144644,339896,,glutamate decarboxylase like 1,HGNC:27949,3p24.1-p23,615601
GAGE1,ENSG00000205777,2543,CT4.1,G antigen 1,HGNC:4098,Xp11.23,300594
GAGE10,ENSG00000215274,102724473,OTTHUMG00000024136,G antigen 10,HGNC:30968,Xp11.23,300737
GAGE12B,ENSG00000236737,729428,OTTHUMG00000024142,G antigen 12B,HGNC:26779,Xp11.23,
GAGE12C,ENSG00000237671,729422,OTTHUMG00000024144,G antigen 12C,HGNC:28402,Xp11.23,300727
GAGE12D,ENSG00000227488,100132399,OTTHUMG00000024145,G antigen 12D,HGNC:31904,Xp11.23,300728
GAGE12E,ENSG00000216649,729431,OTTHUMG00000024146,G antigen 12E,HGNC:31905,Xp11.23,300729
GAGE12F,ENSG00000236362,100008586,OTTHUMG00000024147,G antigen 12F,HGNC:31906,Xp11.23,300730
GAGE12G,ENSG00000215269,645073,OTTHUMG00000024148,G antigen 12G,HGNC:31907,Xp11.23,300731
GAGE12H,ENSG00000224902,729442,OTTHUMG00000024149,G antigen 12H,HGNC:31908,Xp11.23,300732
GAGE12I,nan,26748,OTTHUMG00000067390,G antigen 12I,HGNC:4105,Xp11.23 not on reference assembly,300637
GAGE12J,ENSG00000224659,729396,OTTHUMG00000024137,G antigen 12J,HGNC:17778,Xp11.23,300733
GAGE13,ENSG00000274274,645051,OTTHUMG00000024138,G antigen 13,HGNC:29081,Xp11.23,300734
GAGE2A,ENSG00000189064,729447,CT4.2,G antigen 2A,HGNC:4099,Xp11.23,300720
GAGE2B,nan,645037,,G antigen 2B,HGNC:31957,Xp11.23 not on reference assembly,300726
GAGE2C,nan,2574,,G antigen 2C,HGNC:31958,Xp11.23 not on reference assembly,300595
GAGE2D,nan,729408,GAGE8,G antigen 2D,HGNC:31959,Xp11.23 not on reference assembly,300735
GAGE2E,ENSG00000275113,26749,GAGE8,G antigen 2E,HGNC:31960,Xp11.23,300736
GAK,ENSG00000178950,2580,DNAJC26,cyclin G associated kinase,HGNC:4113,4p16.3,602052
GAL,ENSG00000069482,51083,"GMAP, GAL-GMAP, GLNN",galanin and GMAP prepropeptide,HGNC:4114,11q13.2,137035
GAL3ST1,ENSG00000128242,9514,CST,galactose-3-O-sulfotransferase 1,HGNC:24240,22q12.2,602300
GAL3ST2,ENSG00000154252,64090,GP3ST,galactose-3-O-sulfotransferase 2,HGNC:24869,2q37.3,608237
GAL3ST3,ENSG00000175229,89792,GAL3ST2,galactose-3-O-sulfotransferase 3,HGNC:24144,11q13.1,608234
GAL3ST4,ENSG00000197093,79690,FLJ12116,galactose-3-O-sulfotransferase 4,HGNC:24145,7q22.1,608235
GALC,ENSG00000054983,2581,,galactosylceramidase,HGNC:4115,14q31.3,606890
GALE,ENSG00000117308,2582,SDR1E1,UDP-galactose-4-epimerase,HGNC:4116,1p36.11,606953
GALK1,ENSG00000108479,2584,,galactokinase 1,HGNC:4118,17q25.1,604313
GALK2,ENSG00000156958,2585,GK2,galactokinase 2,HGNC:4119,15q21.1-q21.2,137028
GALM,ENSG00000143891,130589,,galactose mutarotase,HGNC:24063,2p22.1,137030
GALNS,ENSG00000141012,2588,"GAS, GALNAC6S",galactosamine (N-acetyl)-6-sulfatase,HGNC:4122,16q24.3,612222
GALNT1,ENSG00000141429,2589,GalNAc-T1,polypeptide N-acetylgalactosaminyltransferase 1,HGNC:4123,18q12.2,602273
GALNT10,ENSG00000164574,55568,GalNAc-T10,polypeptide N-acetylgalactosaminyltransferase 10,HGNC:19873,5q33.2,608043
GALNT11,ENSG00000178234,63917,GalNAc-T11,polypeptide N-acetylgalactosaminyltransferase 11,HGNC:19875,7q36.1,615130
GALNT12,ENSG00000119514,79695,GalNAc-T12,polypeptide N-acetylgalactosaminyltransferase 12,HGNC:19877,9q22.33,610290
GALNT13,ENSG00000144278,114805,"KIAA1918, GalNAc-T13",polypeptide N-acetylgalactosaminyltransferase 13,HGNC:23242,2q23.3-q24.1,608369
GALNT14,ENSG00000158089,79623,"GalNac-T10, FLJ12691, GalNac-T14",polypeptide N-acetylgalactosaminyltransferase 14,HGNC:22946,2p23.1,608225
GALNT15,ENSG00000131386,117248,"GALNT7, pp-GalNAc-T15",polypeptide N-acetylgalactosaminyltransferase 15,HGNC:21531,3p25.1,615131
GALNT16,ENSG00000100626,57452,"KIAA1130, GalNAc-T16",polypeptide N-acetylgalactosaminyltransferase 16,HGNC:23233,14q24.1,615132
GALNT17,ENSG00000185274,64409,"GALNTL3, GalNAc-T5L, GalNAc-T19, GalNAc-T17, ppGalNAc-T17",polypeptide N-acetylgalactosaminyltransferase 17,HGNC:16347,7q11.22,615137
GALNT18,ENSG00000110328,374378,"MGC71806, GALNT15, GalNAc-T18",polypeptide N-acetylgalactosaminyltransferase 18,HGNC:30488,11p15.4,615136
GALNT2,ENSG00000143641,2590,GalNAc-T2,polypeptide N-acetylgalactosaminyltransferase 2,HGNC:4124,1q42.13,602274
GALNT3,ENSG00000115339,2591,"GalNAc-T3, HHS, HFTC",polypeptide N-acetylgalactosaminyltransferase 3,HGNC:4125,2q24.3,601756
GALNT4,ENSG00000257594,8693,GalNAc-T4,polypeptide N-acetylgalactosaminyltransferase 4,HGNC:4126,12q21.33,603565
GALNT5,ENSG00000136542,11227,GalNAc-T5,polypeptide N-acetylgalactosaminyltransferase 5,HGNC:4127,2q24.1,615129
GALNT6,ENSG00000139629,11226,GalNAc-T6,polypeptide N-acetylgalactosaminyltransferase 6,HGNC:4128,12q13.13,605148
GALNT7,ENSG00000109586,51809,GALNAC-T7,polypeptide N-acetylgalactosaminyltransferase 7,HGNC:4129,4q34.1,605005
GALNT8,ENSG00000130035,26290,GALNAC-T8,polypeptide N-acetylgalactosaminyltransferase 8,HGNC:4130,12p13.32,606250
GALNT9,ENSG00000182870,50614,GALNAC-T9,polypeptide N-acetylgalactosaminyltransferase 9,HGNC:4131,12q24.33,606251
GALNTL5,ENSG00000106648,168391,GalNAc-T5L,polypeptide N-acetylgalactosaminyltransferase like 5,HGNC:21725,7q36.1,615133
GALNTL6,ENSG00000174473,442117,"GALNT17, GalNAc-T6L",polypeptide N-acetylgalactosaminyltransferase like 6,HGNC:33844,4q34.1,615138
GALP,ENSG00000197487,85569,,galanin like peptide,HGNC:24840,19q13.43,611178
GALR1,ENSG00000166573,2587,,galanin receptor 1,HGNC:4132,18q23,600377
GALR2,ENSG00000182687,8811,GALNR2,galanin receptor 2,HGNC:4133,17q25.1,603691
GALR3,ENSG00000128310,8484,,galanin receptor 3,HGNC:4134,22q13.1,603692
GALT,ENSG00000213930,2592,,galactose-1-phosphate uridylyltransferase,HGNC:4135,9p13.3,606999
GAMT,nan,2593,"PIG2, TP53I2",guanidinoacetate N-methyltransferase,HGNC:4136,19p13.3,601240
GAN,ENSG00000261609,8139,"GAN1, KLHL16, GIG",gigaxonin,HGNC:4137,16q23.2,605379
GANAB,ENSG00000089597,23193,"GluII, G2AN, KIAA0088, GIIA",glucosidase II alpha subunit,HGNC:4138,11q12.3,104160
GANC,ENSG00000214013,2595,,"glucosidase alpha, neutral C",HGNC:4139,15q15.1,104180
GAP43,ENSG00000172020,2596,"B-50, PP46, GAP-43",growth associated protein 43,HGNC:4140,3q13.31,162060
GAPDH,ENSG00000111640,2597,,glyceraldehyde-3-phosphate dehydrogenase,HGNC:4141,12p13.31,138400
GAPDHS,ENSG00000105679,26330,"GAPDH-2, GAPD2","glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",HGNC:24864,19q13.12,609169
GAPT,ENSG00000175857,202309,FLJ33641,"GRB2 binding adaptor protein, transmembrane",HGNC:26588,5q11.2,
GAPVD1,ENSG00000165219,26130,"DKFZP434C212, KIAA1521",GTPase activating protein and VPS9 domains 1,HGNC:23375,9q33.3,611714
GAR1,ENSG00000109534,54433,,GAR1 ribonucleoprotein,HGNC:14264,4q25,606468
GAREM1,ENSG00000141441,64762,FLJ21610,GRB2 associated regulator of MAPK1 subtype 1,HGNC:26136,18q12.1,617998
GAREM2,ENSG00000157833,150946,"KIAA2038, FLJ00375",GRB2 associated regulator of MAPK1 subtype 2,HGNC:27172,2p23.3,617999
GARNL3,ENSG00000136895,84253,"DKFZp761J1523, bA356B19.1",GTPase activating Rap/RanGAP domain like 3,HGNC:25425,9q33.3,
GARRE1,ENSG00000166398,9710,,granule associated Rac and RHOG effector 1,HGNC:29016,19q13.11,
GARS1,ENSG00000106105,2617,"GlyRS, DSMAV, SMAD1",glycyl-tRNA synthetase 1,HGNC:4162,7p14.3,600287
GART,ENSG00000159131,2618,GARS-AIRS-GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",HGNC:4163,21q22.11,138440
GAS1,ENSG00000180447,2619,,growth arrest specific 1,HGNC:4165,9q21.33,139185
GAS2,ENSG00000148935,2620,,growth arrest specific 2,HGNC:4167,11p14.3,602835
GAS2L1,ENSG00000185340,10634,GAR22,growth arrest specific 2 like 1,HGNC:16955,22q12.2,602128
GAS2L2,ENSG00000270765,246176,GAR17,growth arrest specific 2 like 2,HGNC:24846,17q12,611398
GAS2L3,ENSG00000139354,283431,,growth arrest specific 2 like 3,HGNC:27475,12q23.1,617224
GAS6,ENSG00000183087,2621,"AXSF, FLJ34709, DKFZp666G247",growth arrest specific 6,HGNC:4168,13q34,600441
GAS7,nan,8522,"KIAA0394, MGC1348",growth arrest specific 7,HGNC:4169,17p13.1,603127
GAS8,ENSG00000141013,2622,DRC4,growth arrest specific 8,HGNC:4166,16q24.3,605178
GASK1A,ENSG00000144649,729085,DKFZP434B172,golgi associated kinase 1A,HGNC:24485,3p22.1,
GASK1B,ENSG00000164125,51313,"FLJ38155, DKFZp434L142, ENED",golgi associated kinase 1B,HGNC:25312,4q32.1,
GAST,ENSG00000184502,2520,,gastrin,HGNC:4164,17q21.2,137250
GATA1,ENSG00000102145,2623,"ERYF1, NFE1, GATA-1, NF-E1",GATA binding protein 1,HGNC:4170,Xp11.23,305371
GATA2,ENSG00000179348,2624,NFE1B,GATA binding protein 2,HGNC:4171,3q21.3,137295
GATA3,ENSG00000107485,2625,HDR,GATA binding protein 3,HGNC:4172,10p14,131320
GATA4,ENSG00000136574,2626,,GATA binding protein 4,HGNC:4173,8p23.1,600576
GATA5,ENSG00000130700,140628,"bB379O24.1, GATAS",GATA binding protein 5,HGNC:15802,20q13.33,611496
GATA6,ENSG00000141448,2627,,GATA binding protein 6,HGNC:4174,18q11.2,601656
GATAD1,ENSG00000157259,57798,"ODAG, RG083M05.2, FLJ22489",GATA zinc finger domain containing 1,HGNC:29941,7q21.2,614518
GATAD2A,ENSG00000167491,54815,p66alpha,GATA zinc finger domain containing 2A,HGNC:29989,19p13.11,614997
GATAD2B,ENSG00000143614,57459,P66beta,GATA zinc finger domain containing 2B,HGNC:30778,1q21.3,614998
GATB,ENSG00000059691,5188,,glutamyl-tRNA amidotransferase subunit B,HGNC:8849,4q31.3,603645
GATC,ENSG00000257218,283459,"FLJ37000, 15E1.2, gatC",glutamyl-tRNA amidotransferase subunit C,HGNC:25068,12q24.31,617210
GATD1,ENSG00000177225,347862,FLJ34283,glutamine amidotransferase like class 1 domain containing 1,HGNC:26616,11p15.5,
GATD3A,ENSG00000160221,8209,"KNP-Ia, GT335, ES1, HES1, D21S2048E, KNPI, KNPH, KNP-I",glutamine amidotransferase like class 1 domain containing 3A,HGNC:1273,21q22.3,601659
GATD3B,ENSG00000280071,102724023,,glutamine amidotransferase like class 1 domain containing 3B,HGNC:53816,21p12,
GATM,ENSG00000171766,2628,AGAT,glycine amidinotransferase,HGNC:4175,15q21.1,602360
GBA,ENSG00000177628,2629,GBA1,glucosylceramidase beta,HGNC:4177,1q22,606463
GBA2,ENSG00000070610,57704,"KIAA1605, AD035, DKFZp762K054",glucosylceramidase beta 2,HGNC:18986,9p13.3,609471
GBA3,ENSG00000249948,57733,"GLUC, KLrP",glucosylceramidase beta 3 (gene/pseudogene),HGNC:19069,4p15.2,606619
GBE1,ENSG00000114480,2632,,"1,4-alpha-glucan branching enzyme 1",HGNC:4180,3p12.2,607839
GBF1,ENSG00000107862,8729,"KIAA0248, ARF1GEF",golgi brefeldin A resistant guanine nucleotide exchange factor 1,HGNC:4181,10q24.32,603698
GBGT1,ENSG00000148288,26301,"UDP-GalNAc, A3GALNT, MGC44848, FS","globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)",HGNC:20460,9q34.2,606074
GBP1,ENSG00000117228,2633,,guanylate binding protein 1,HGNC:4182,1p22.2,600411
GBP2,ENSG00000162645,2634,,guanylate binding protein 2,HGNC:4183,1p22.2,600412
GBP3,ENSG00000117226,2635,FLJ10961,guanylate binding protein 3,HGNC:4184,1p22.2,600413
GBP4,ENSG00000162654,115361,Mpa2,guanylate binding protein 4,HGNC:20480,1p22.2,612466
GBP5,ENSG00000154451,115362,,guanylate binding protein 5,HGNC:19895,1p22.2,611467
GBP6,ENSG00000183347,163351,DKFZp686G0786,guanylate binding protein family member 6,HGNC:25395,1p22.2,612467
GBP7,ENSG00000213512,388646,"FLJ38822, GBP4L",guanylate binding protein 7,HGNC:29606,1p22.2,612468
GBX1,ENSG00000164900,2636,,gastrulation brain homeobox 1,HGNC:4185,7q36.1,603354
GBX2,ENSG00000168505,2637,,gastrulation brain homeobox 2,HGNC:4186,2q37.2,601135
GC,ENSG00000145321,2638,"DBP, VDBP, hDBP",GC vitamin D binding protein,HGNC:4187,4q13.3,139200
GCA,ENSG00000115271,25801,GCL,grancalcin,HGNC:15990,2q24.2,607030
GCAT,ENSG00000100116,23464,KBL,glycine C-acetyltransferase,HGNC:4188,22q13.1,607422
GCC1,ENSG00000179562,79571,"FLJ22035, GCC88, GCC1P, MGC20706",GRIP and coiled-coil domain containing 1,HGNC:19095,7q32.1,607418
GCC2,ENSG00000135968,9648,"GCC185, KIAA0336",GRIP and coiled-coil domain containing 2,HGNC:23218,2q12.3,612711
GCDH,ENSG00000105607,2639,ACAD5,glutaryl-CoA dehydrogenase,HGNC:4189,19p13.13,608801
GCFC2,ENSG00000005436,6936,"DNABF, GCF",GC-rich sequence DNA-binding factor 2,HGNC:1317,2p12,189901
GCG,ENSG00000115263,2641,"GLP1, GLP2, GRPP, GLP-1",glucagon,HGNC:4191,2q24.2,138030
GCGR,ENSG00000215644,2642,GGR,glucagon receptor,HGNC:4192,17q25.3,138033
GCH1,ENSG00000131979,2643,"GTPCH1, DYT5a",GTP cyclohydrolase 1,HGNC:4193,14q22.2,600225
GCHFR,ENSG00000137880,2644,"GFRP, HsT16933",GTP cyclohydrolase I feedback regulator,HGNC:4194,15q15.1,602437
GCK,ENSG00000106633,2645,HK4,glucokinase,HGNC:4195,7p13,138079
GCKR,ENSG00000084734,2646,,glucokinase regulator,HGNC:4196,2p23.3,600842
GCLC,ENSG00000001084,2729,GCS,glutamate-cysteine ligase catalytic subunit,HGNC:4311,6p12.1,606857
GCLM,ENSG00000023909,2730,,glutamate-cysteine ligase modifier subunit,HGNC:4312,1p22.1,601176
GCM1,ENSG00000137270,8521,hGCMa,glial cells missing transcription factor 1,HGNC:4197,6p12.1,603715
GCM2,ENSG00000124827,9247,hGCMb,glial cells missing transcription factor 2,HGNC:4198,6p24.2,603716
GCN1,ENSG00000089154,10985,"KIAA0219, GCN1L",GCN1 activator of EIF2AK4,HGNC:4199,12q24.23,605614
GCNA,ENSG00000147174,93953,NAAR1,germ cell nuclear acidic peptidase,HGNC:15805,Xq13.1,300369
GCNT1,ENSG00000187210,2650,"C2GNT, NAGCT2",glucosaminyl (N-acetyl) transferase 1,HGNC:4203,9q21.13,600391
GCNT2,ENSG00000111846,2651,"IGNT, NAGCT1, bA421M1.1, bA360O19.2, ULG3",glucosaminyl (N-acetyl) transferase 2 (I blood group),HGNC:4204,6p24.3-p24.2,600429
GCNT3,ENSG00000140297,9245,"C2GnT-M, C2/4GnT, C2GnT2","glucosaminyl (N-acetyl) transferase 3, mucin type",HGNC:4205,15q22.2,606836
GCNT4,ENSG00000176928,51301,C2GNT3,glucosaminyl (N-acetyl) transferase 4,HGNC:17973,5q13.3,616782
GCNT7,ENSG00000124091,140687,dJ1153D9.2,glucosaminyl (N-acetyl) transferase family member 7,HGNC:16099,20q13.31,
GCSAM,ENSG00000174500,257144,"MGC40441, HGAL",germinal center associated signaling and motility,HGNC:20253,3q13.2,607792
GCSAML,ENSG00000169224,148823,FLJ44728,germinal center associated signaling and motility like,HGNC:29583,1q44,
GCSH,ENSG00000140905,2653,,glycine cleavage system protein H,HGNC:4208,16q23.2,238330
GDA,ENSG00000119125,9615,,guanine deaminase,HGNC:4212,9q21.13,139260
GDAP1,ENSG00000104381,54332,"CMT4, CMT2K",ganglioside induced differentiation associated protein 1,HGNC:15968,8q21.11,606598
GDAP1L1,ENSG00000124194,78997,,ganglioside induced differentiation associated protein 1 like 1,HGNC:4213,20q13.12,
GDAP2,ENSG00000196505,54834,"FLJ20142, dJ776P7.1, MACROD3",ganglioside induced differentiation associated protein 2,HGNC:18010,1p12,618128
GDE1,ENSG00000006007,51573,MIR16,glycerophosphodiester phosphodiesterase 1,HGNC:29644,16p12.3,605943
GDF1,ENSG00000130283,2657,,growth differentiation factor 1,HGNC:4214,19p13.11,602880
GDF10,ENSG00000266524,2662,BMP-3b,growth differentiation factor 10,HGNC:4215,10q11.22,601361
GDF11,ENSG00000135414,10220,"BMP-11, BMP11",growth differentiation factor 11,HGNC:4216,12q13.2,603936
GDF15,ENSG00000130513,9518,"PLAB, MIC-1, PDF, MIC1, NAG-1, PTGFB",growth differentiation factor 15,HGNC:30142,19p13.11,605312
GDF2,ENSG00000263761,2658,"BMP-9, BMP9",growth differentiation factor 2,HGNC:4217,10q11.22,605120
GDF3,ENSG00000184344,9573,,growth differentiation factor 3,HGNC:4218,12p13.31,606522
GDF5,ENSG00000125965,8200,"CDMP1, BMP14",growth differentiation factor 5,HGNC:4220,20q11.22,601146
GDF6,ENSG00000156466,392255,"BMP13, KFS, KFS1",growth differentiation factor 6,HGNC:4221,8q22.1,601147
GDF7,ENSG00000143869,151449,BMP12,growth differentiation factor 7,HGNC:4222,2p24.1,604651
GDF9,ENSG00000164404,2661,,growth differentiation factor 9,HGNC:4224,5q31.1,601918
GDI1,ENSG00000203879,2664,"RABGDIA, XAP-4, OPHN2, FLJ41411",GDP dissociation inhibitor 1,HGNC:4226,Xq28,300104
GDI2,ENSG00000057608,2665,RABGDIB,GDP dissociation inhibitor 2,HGNC:4227,10p15.1,600767
GDNF,ENSG00000168621,2668,"ATF1, ATF2, HFB1-GDNF",glial cell derived neurotrophic factor,HGNC:4232,5p13.2,600837
GDPD1,ENSG00000153982,284161,"FLJ37451, GDE4",glycerophosphodiester phosphodiesterase domain containing 1,HGNC:20883,17q22,616317
GDPD2,ENSG00000130055,54857,"OBDPF, FLJ20207, GDE3",glycerophosphodiester phosphodiesterase domain containing 2,HGNC:25974,Xq13.1,300940
GDPD3,ENSG00000102886,79153,MGC4171,glycerophosphodiester phosphodiesterase domain containing 3,HGNC:28638,16p11.2,616318
GDPD4,ENSG00000178795,220032,GDE6,glycerophosphodiester phosphodiesterase domain containing 4,HGNC:24849,11q13.5,
GDPD5,ENSG00000158555,81544,"PP1665, GDE2",glycerophosphodiester phosphodiesterase domain containing 5,HGNC:28804,11q13.4-q13.5,609632
GDPGP1,ENSG00000183208,390637,,GDP-D-glucose phosphorylase 1,HGNC:34360,15q26.1,
GEM,ENSG00000164949,2669,KIR,GTP binding protein overexpressed in skeletal muscle,HGNC:4234,8q22.1,600164
